# posix time,X (m) UTM,Y (m) UTM,Latitude,Longitude,TBV (K),TBH (K),Soil Moisture (m^3/m^3),Tau (-),Nadir Angle (deg),Roll angle (deg),Yaw angle (deg),Detector Temp (K),T_RS,T_ACS,T_Ant1,T_Ant2,u_RS (mV),u_ACS (mV),u_V (mV),u_H (mV),STDOM(u_RS) (mV),STDOM(u_ACS) (mV),STDOM(u_V) (mV),STDOM(u_H) (mV),Gain (K/mV),Offset (K),Velocity (m/s),Flystate (-)
1.718960813349999905e+09,5.168934094570867601e+05,4.685790267362104729e+06,4.232417402346909086e+01,1.172050271421932166e+02,2.553638238844383466e+02,1.740357133411803829e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943399999999999750e+02,2.941499999999999773e+02,2.965899999999999750e+02,2.897099999999999795e+02,1.034296599999999899e+03,9.773695000000000164e+02,nan,1.018151099999999929e+03,7.900000000000000355e-01,7.500000000000000000e-01,1.179999999999999938e+00,9.599999999999999645e-01,4.917108898925126148e+00,-4.791409015988000647e+03,1.724477921580525042e+00,1.400000000000000000e+01
1.718960815140000105e+09,5.168943458349962602e+05,4.685792058406048454e+06,4.232419013346903824e+01,1.172050385588647003e+02,2.573818026415039526e+02,1.735076310663823449e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943999999999999773e+02,2.942099999999999795e+02,2.965899999999999750e+02,2.897099999999999795e+02,1.034678699999999935e+03,9.781957999999999629e+02,1.028623100000000022e+03,1.018836299999999937e+03,8.399999999999999689e-01,8.199999999999999512e-01,1.000000000000000000e+00,7.500000000000000000e-01,4.956463814712065208e+00,-4.833947536403320555e+03,8.447459431156874032e-01,1.400000000000000000e+01
1.718960867299999952e+09,5.168755946501153521e+05,4.685758599601447582e+06,4.232388920683302302e+01,1.172048100087911138e+02,2.405017064925595776e+02,1.511690227546911842e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.945199999999999818e+02,2.942699999999999818e+02,2.969599999999999795e+02,2.894599999999999795e+02,1.034900900000000092e+03,9.773813000000000102e+02,1.025613800000000083e+03,1.014230199999999968e+03,6.999999999999999556e-01,8.299999999999999600e-01,8.599999999999999867e-01,9.699999999999999734e-01,4.868847314654475511e+00,-4.744254467898499570e+03,1.855517515152232955e+00,1.400000000000000000e+01
1.718960867369999886e+09,5.168757082132910728e+05,4.685758545467246324e+06,4.232388871683330933e+01,1.172048113854563383e+02,2.398866672943504739e+02,1.507596244298567001e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.945199999999999818e+02,2.942699999999999818e+02,2.969599999999999795e+02,2.894599999999999795e+02,1.034740999999999985e+03,9.776431999999999789e+02,1.025425400000000081e+03,1.013817699999999945e+03,9.699999999999999734e-01,8.100000000000000533e-01,7.399999999999999911e-01,9.000000000000000222e-01,4.904815071684022421e+00,-4.780693252089396992e+03,1.849688553678562997e+00,1.400000000000000000e+01
1.718960953299999952e+09,5.169105186311992002e+05,4.685804691449396312e+06,4.232430355677642098e+01,1.172052352088903433e+02,2.643856104170317849e+02,1.959883524138707855e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.946499999999999773e+02,2.943999999999999773e+02,2.972699999999999818e+02,2.891499999999999773e+02,1.034476100000000088e+03,9.781381999999999834e+02,1.030687400000000025e+03,1.023394900000000007e+03,9.899999999999999911e-01,6.300000000000000044e-01,8.900000000000000133e-01,8.599999999999999867e-01,4.972460812348338699e+00,-4.849241868560941839e+03,2.799450153829162069e+00,1.400000000000000000e+01
1.718960953369999886e+09,5.169107034007660113e+05,4.685804607692901976e+06,4.232430279844351162e+01,1.172052374488880275e+02,2.647069424267643285e+02,1.957915599943902407e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.946499999999999773e+02,2.943999999999999773e+02,2.972699999999999818e+02,2.891499999999999773e+02,1.034633499999999913e+03,9.781032999999999902e+02,1.031042100000000119e+03,1.022820699999999988e+03,7.800000000000000266e-01,8.599999999999999867e-01,9.699999999999999734e-01,8.499999999999999778e-01,4.955545885208266554e+00,-4.832523783623627423e+03,2.809315135717938450e+00,1.400000000000000000e+01
1.718961022980000019e+09,5.169181307839998044e+05,4.685776188769246452e+06,4.232404669343024040e+01,1.172053267588296563e+02,2.748402696042903699e+02,2.097990344515320658e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.945199999999999818e+02,2.943399999999999750e+02,2.971499999999999773e+02,2.889599999999999795e+02,1.034852200000000039e+03,9.777172000000000480e+02,1.033091000000000122e+03,1.026261199999999917e+03,8.800000000000000044e-01,8.599999999999999867e-01,7.800000000000000266e-01,9.499999999999999556e-01,4.901186663166186008e+00,-4.777483800988185976e+03,1.245568788613803823e+00,1.400000000000000000e+01
1.718961094829999924e+09,5.169428771601407789e+05,4.685891820395055227e+06,4.232508754505350623e+01,1.172056304824141364e+02,2.576691100446108180e+02,1.528612642843569347e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943999999999999773e+02,2.942099999999999795e+02,2.974599999999999795e+02,2.890899999999999750e+02,1.034470800000000054e+03,9.774442000000000235e+02,1.029111699999999928e+03,1.014817000000000007e+03,8.399999999999999689e-01,8.199999999999999512e-01,7.900000000000000355e-01,7.600000000000000089e-01,4.909208158999481597e+00,-4.784032491606721123e+03,4.386560272735969157e+00,1.400000000000000000e+01
1.718961094890000105e+09,5.169428996378118172e+05,4.685892065839414485e+06,4.232508975506014082e+01,1.172056307624155238e+02,2.578334353088982311e+02,1.532421227556887402e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943999999999999773e+02,2.942099999999999795e+02,2.973999999999999773e+02,2.890899999999999750e+02,1.034405400000000100e+03,9.778676000000000386e+02,1.029447400000000016e+03,1.014651399999999967e+03,9.300000000000000488e-01,8.599999999999999867e-01,9.799999999999999822e-01,7.299999999999999822e-01,4.951650930881634771e+00,-4.827614461818991003e+03,4.288190003431222586e+00,1.400000000000000000e+01
1.718961122380000114e+09,5.169656814066279330e+05,4.685954372643660754e+06,4.232565040002114642e+01,1.172059090858855797e+02,2.677552719037084898e+02,2.013120697204024339e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943999999999999773e+02,2.942099999999999795e+02,2.975199999999999818e+02,2.890899999999999750e+02,nan,9.777835000000000036e+02,1.032693700000000035e+03,nan,1.189999999999999947e+00,9.599999999999999645e-01,9.300000000000000488e-01,1.070000000000000062e+00,nan,nan,2.568215269958953328e+00,1.400000000000000000e+01
1.718961146730000019e+09,5.169646107685637544e+05,4.685959845233066939e+06,4.232569971002117626e+01,1.172058962525626100e+02,2.481210645906701302e+02,1.611536715616535673e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942699999999999818e+02,2.940899999999999750e+02,2.977099999999999795e+02,2.889599999999999795e+02,1.034772400000000061e+03,9.778608000000000402e+02,1.027647100000000137e+03,1.016317999999999984e+03,9.100000000000000311e-01,6.899999999999999467e-01,8.800000000000000044e-01,8.199999999999999512e-01,4.917592371326756862e+00,-4.794318860299479638e+03,3.021685827863068941e+00,1.400000000000000000e+01
1.718961146789999962e+09,5.169646779178726720e+05,4.685960016390654258e+06,4.232570125001959838e+01,1.172058970725621947e+02,2.483485259480577554e+02,1.611950868762702669e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942699999999999818e+02,2.940899999999999750e+02,2.977099999999999795e+02,2.889599999999999795e+02,1.035006000000000085e+03,9.776013000000000375e+02,1.028118600000000015e+03,1.016659999999999968e+03,9.799999999999999822e-01,5.699999999999999512e-01,1.000000000000000000e+00,9.699999999999999734e-01,4.875350798802184471e+00,-4.751747328865054442e+03,3.031158153473009431e+00,1.400000000000000000e+01
1.718961227140000105e+09,5.169683804421928944e+05,4.685937322580209933e+06,4.232549678667778892e+01,1.172059413425107408e+02,2.707786035419699147e+02,2.090181515170409909e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942099999999999795e+02,2.940899999999999750e+02,2.976499999999999773e+02,2.889599999999999795e+02,1.035404600000000073e+03,9.783762000000000398e+02,1.032068199999999933e+03,1.026409200000000055e+03,8.499999999999999778e-01,9.699999999999999734e-01,9.100000000000000311e-01,8.299999999999999600e-01,4.906468531468528127e+00,-4.785970087237758889e+03,3.912479374373800223e+00,1.400000000000000000e+01
1.718961227210000038e+09,5.169682465170273790e+05,4.685937052809269167e+06,4.232549436001365706e+01,1.172059397091783808e+02,2.713375301757850480e+02,2.087557809321351101e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942099999999999795e+02,2.940899999999999750e+02,2.976499999999999773e+02,2.889599999999999795e+02,1.034912199999999984e+03,9.777639000000000351e+02,1.033461099999999988e+03,1.025806499999999915e+03,7.700000000000000178e-01,8.399999999999999689e-01,6.099999999999999867e-01,7.399999999999999911e-01,4.896174514377509723e+00,-4.772900738258360434e+03,3.944236993549482762e+00,1.400000000000000000e+01
1.718961231059999943e+09,5.169567103291517706e+05,4.685927099402644671e+06,4.232540497003624580e+01,1.172057994058252746e+02,2.429549903731426639e+02,1.845123110542051847e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942099999999999795e+02,2.940899999999999750e+02,2.977099999999999795e+02,2.889599999999999795e+02,1.035113499999999931e+03,9.778346999999999980e+02,1.026502400000000080e+03,1.021132999999999925e+03,6.400000000000000133e-01,8.699999999999999956e-01,9.100000000000000311e-01,1.000000000000000000e+00,4.885019413814540634e+00,-4.762339543001517086e+03,3.530240461110482730e+00,1.400000000000000000e+01
1.718961252390000105e+09,5.169284637151286006e+05,4.685873918797805905e+06,4.232492663507839836e+01,1.172054550273759190e+02,2.767826465207103297e+02,1.919953061827516478e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942699999999999818e+02,2.940899999999999750e+02,2.976499999999999773e+02,2.890199999999999818e+02,nan,9.778760999999999513e+02,nan,nan,1.100000000000000089e+00,9.599999999999999645e-01,1.320000000000000062e+00,1.199999999999999956e+00,nan,nan,1.653967916882455036e+00,1.400000000000000000e+01
1.718961301220000029e+09,5.168671696465511341e+05,4.685742012780719437e+06,4.232374000684645665e+01,1.172047072754227344e+02,2.513316226615101527e+02,1.693636184169665171e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943399999999999750e+02,2.941499999999999773e+02,2.976499999999999773e+02,2.893399999999999750e+02,1.034986100000000079e+03,9.780585999999999558e+02,1.028099100000000135e+03,1.017904699999999934e+03,6.999999999999999556e-01,9.200000000000000400e-01,9.499999999999999556e-01,7.800000000000000266e-01,4.917074348952604090e+00,-4.794763603832495392e+03,1.698747878777623344e-01,1.400000000000000000e+01
1.718961348579999924e+09,5.168640787489532959e+05,4.685738092443262227e+06,4.232370476685370164e+01,1.172046696487497286e+02,2.605105477395896969e+02,1.704955828374761211e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943399999999999750e+02,2.940899999999999750e+02,2.974599999999999795e+02,2.892099999999999795e+02,1.034630000000000109e+03,9.775538999999999987e+02,1.030494699999999966e+03,1.017628299999999967e+03,6.600000000000000311e-01,7.900000000000000355e-01,9.799999999999999822e-01,7.800000000000000266e-01,4.904645727370991359e+00,-4.780153608909849027e+03,2.920262995597305178e+00,1.400000000000000000e+01
1.718961348640000105e+09,5.168639375017021666e+05,4.685737894459142350e+06,4.232370298684855925e+01,1.172046679287441009e+02,2.604636942137069013e+02,1.704188938305183569e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.943399999999999750e+02,2.940899999999999750e+02,2.974599999999999795e+02,2.892099999999999795e+02,1.034675700000000006e+03,9.780240000000000009e+02,1.029624099999999999e+03,1.018436399999999935e+03,8.900000000000000133e-01,7.700000000000000178e-01,9.000000000000000222e-01,1.000000000000000000e+00,4.941388343156515539e+00,-4.818394442927307864e+03,3.082139948934890405e+00,1.400000000000000000e+01
1.718961392519999981e+09,5.168554947684756480e+05,4.685697354218137451e+06,4.232333806019893530e+01,1.172045642819922904e+02,2.661866742516751287e+02,1.622478686754209320e+02,nan,nan,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942699999999999818e+02,2.941499999999999773e+02,2.973999999999999773e+02,2.902099999999999795e+02,1.035060699999999997e+03,9.783449000000000524e+02,1.031322699999999941e+03,1.017175399999999968e+03,7.199999999999999734e-01,5.899999999999999689e-01,8.000000000000000444e-01,9.000000000000000222e-01,4.934193822532702889e+00,-4.812920111886374798e+03,3.498732656313863210e-02,1.400000000000000000e+01
